symbol,security_id,name,exchange_segment
DIVISLAB,10940,Divi's Laboratories Ltd.,NSE_EQ
DIXON,21690,Dixon Technologies (India) Ltd.,NSE_EQ
DLF,14732,DLF Ltd.,NSE_EQ
DMART,19913,Avenue Supermarts Ltd.,NSE_EQ
DOMS,20551,DOMS Industries Ltd.,NSE_EQ
DRREDDY,881,Dr. Reddy's Laboratories Ltd.,NSE_EQ
ECLERX,15179,eClerx Services Ltd.,NSE_EQ
EICHERMOT,910,Eicher Motors Ltd.,NSE_EQ
EIDPARRY,916,E.I.D. Parry (India) Ltd.,NSE_EQ
EIHOTEL,919,EIH Ltd.,NSE_EQ
ELECON,13643,Elecon Engineering Co. Ltd.,NSE_EQ
ELGIEQUIP,937,Elgi Equipments Ltd.,NSE_EQ
EMAMILTD,13517,Emami Ltd.,NSE_EQ
EMCURE,24398,Emcure Pharmaceuticals Ltd.,NSE_EQ
EMMVEE,759728,Emmvee Photovoltaic Power Ltd.,NSE_EQ
ENDURANCE,18822,Endurance Technologies Ltd.,NSE_EQ
ENGINERSIN,4907,Engineers India Ltd.,NSE_EQ
ENRIN,756871,Siemens Energy India Ltd.,NSE_EQ
ERIS,21154,Eris Lifesciences Ltd.,NSE_EQ
ESCORTS,958,Escorts Kubota Ltd.,NSE_EQ
ETERNAL,5097,Eternal Ltd.,NSE_EQ
EXIDEIND,676,Exide Industries Ltd.,NSE_EQ
FACT,1008,Fertilisers and Chemicals Travancore Ltd.,NSE_EQ
FEDERALBNK,1023,Federal Bank Ltd.,NSE_EQ
FINCABLES,1038,Finolex Cables Ltd.,NSE_EQ
FIRSTCRY,24814,Brainbees Solutions Ltd.,NSE_EQ
FIVESTAR,12032,Five-Star Business Finance Ltd.,NSE_EQ
FLUOROCHEM,13750,Gujarat Fluorochemicals Ltd.,NSE_EQ
FORCEMOT,11573,Force Motors Ltd.,NSE_EQ
FORTIS,14592,Fortis Healthcare Ltd.,NSE_EQ
FSL,14304,Firstsource Solutions Ltd.,NSE_EQ
GABRIEL,1085,Gabriel India Ltd.,NSE_EQ
GAIL,4717,GAIL (India) Ltd.,NSE_EQ
GALLANTT,13337,Gallantt Ispat Ltd.,NSE_EQ
GESHIP,13776,Great Eastern Shipping Co. Ltd.,NSE_EQ
GICRE,277,General Insurance Corporation of India,NSE_EQ
GILLETTE,1576,Gillette India Ltd.,NSE_EQ
GLAND,1186,Gland Pharma Ltd.,NSE_EQ
GLAXO,1153,Glaxosmithkline Pharmaceuticals Ltd.,NSE_EQ
GLENMARK,7406,Glenmark Pharmaceuticals Ltd.,NSE_EQ
GMDCLTD,5204,Gujarat Mineral Development Corporation Ltd.,NSE_EQ
GMRAIRPORT,13528,GMR Airports Ltd.,NSE_EQ
GODFRYPHLP,1181,Godfrey Phillips India Ltd.,NSE_EQ
GODIGIT,23799,Go Digit General Insurance Ltd.,NSE_EQ
GODREJCP,10099,Godrej Consumer Products Ltd.,NSE_EQ
GODREJIND,10925,Godrej Industries Ltd.,NSE_EQ
GODREJPROP,17875,Godrej Properties Ltd.,NSE_EQ
GPIL,13409,Godawari Power & Ispat Ltd.,NSE_EQ
GRANULES,11872,Granules India Ltd.,NSE_EQ
GRAPHITE,592,Graphite India Ltd.,NSE_EQ
GRASIM,1232,Grasim Industries Ltd.,NSE_EQ
GRAVITA,20534,Gravita India Ltd.,NSE_EQ
GROWW,759806,Billionbrains Garage Ventures Ltd.,NSE_EQ
GRSE,5475,Garden Reach Shipbuilders & Engineers Ltd.,NSE_EQ
GVT&D,16783,GE Vernova T&D India Ltd.,NSE_EQ
HAL,2303,Hindustan Aeronautics Ltd.,NSE_EQ
HAVELLS,9819,Havells India Ltd.,NSE_EQ
HBLENGINE,13966,HBL Engineering Ltd.,NSE_EQ
HCLTECH,7229,HCL Technologies Ltd.,NSE_EQ
HDBFS,757772,HDB Financial Services Ltd.,NSE_EQ
HDFCAMC,4244,HDFC Asset Management Company Ltd.,NSE_EQ
HDFCBANK,1333,HDFC Bank Ltd.,NSE_EQ
HDFCLIFE,467,HDFC Life Insurance Company Ltd.,NSE_EQ
HEG,1336,H.E.G. Ltd.,NSE_EQ
HEROMOTOCO,1348,Hero MotoCorp Ltd.,NSE_EQ
HEXT,29666,Hexaware Technologies Ltd.,NSE_EQ
HFCL,21951,HFCL Ltd.,NSE_EQ
HINDALCO,1363,Hindalco Industries Ltd.,NSE_EQ
HINDCOPPER,17939,Hindustan Copper Ltd.,NSE_EQ
HINDPETRO,1406,Hindustan Petroleum Corporation Ltd.,NSE_EQ
HINDUNILVR,1394,Hindustan Unilever Ltd.,NSE_EQ
HINDZINC,1424,Hindustan Zinc Ltd.,NSE_EQ
HOMEFIRST,2056,Home First Finance Company India Ltd.,NSE_EQ
HONASA,19813,Honasa Consumer Ltd.,NSE_EQ
HONAUT,3417,Honeywell Automation India Ltd.,NSE_EQ
HSCL,14334,Himadri Speciality Chemical Ltd.,NSE_EQ
HUDCO,20825,Housing & Urban Development Corporation Ltd.,NSE_EQ
HYUNDAI,25844,Hyundai Motor India Ltd.,NSE_EQ
ICICIAMC,760407,ICICI Prudential Asset Management Company Ltd.,NSE_EQ
ICICIBANK,4963,ICICI Bank Ltd.,NSE_EQ
ICICIGI,21770,ICICI Lombard General Insurance Company Ltd.,NSE_EQ
ICICIPRULI,18652,ICICI Prudential Life Insurance Company Ltd.,NSE_EQ
IDBI,1476,IDBI Bank Ltd.,NSE_EQ
IDEA,14366,Vodafone Idea Ltd.,NSE_EQ
IDFCFIRSTB,11184,IDFC First Bank Ltd.,NSE_EQ
IEX,220,Indian Energy Exchange Ltd.,NSE_EQ
IFCI,1491,IFCI Ltd.,NSE_EQ
IGIL,28378,International Gemological Institute Ltd.,NSE_EQ
IGL,11262,Indraprastha Gas Ltd.,NSE_EQ
IIFL,11809,IIFL Finance Ltd.,NSE_EQ
IKS,28125,Inventurus Knowledge Solutions Ltd.,NSE_EQ
INDGN,23693,Indegene Ltd.,NSE_EQ
INDHOTEL,1512,Indian Hotels Co. Ltd.,NSE_EQ
INDIACEM,1515,India Cements Ltd.,NSE_EQ
INDIAMART,10726,Indiamart Intermesh Ltd.,NSE_EQ
INDIANB,14309,Indian Bank,NSE_EQ
INDIGO,11195,InterGlobe Aviation Ltd.,NSE_EQ
INDUSINDBK,5258,IndusInd Bank Ltd.,NSE_EQ
INDUSTOWER,29135,Indus Towers Ltd.,NSE_EQ
INFY,1594,Infosys Ltd.,NSE_EQ
INOXWIND,7852,Inox Wind Ltd.,NSE_EQ
INTELLECT,5926,Intellect Design Arena Ltd.,NSE_EQ
IOB,9348,Indian Overseas Bank,NSE_EQ
IOC,1624,Indian Oil Corporation Ltd.,NSE_EQ
IPCALAB,1633,Ipca Laboratories Ltd.,NSE_EQ
IRB,15313,IRB Infrastructure Developers Ltd.,NSE_EQ
IRCON,4986,IRCON International Ltd.,NSE_EQ
IRCTC,13611,Indian Railway Catering And Tourism Corporation Ltd.,NSE_EQ
IREDA,20261,Indian Renewable Energy Development Agency Ltd.,NSE_EQ
IRFC,2029,Indian Railway Finance Corporation Ltd.,NSE_EQ
ITC,1660,ITC Ltd.,NSE_EQ
ITCHOTELS,29251,ITC Hotels Ltd.,NSE_EQ
ITI,1675,ITI Ltd.,NSE_EQ
J&KBANK,5633,Jammu & Kashmir Bank Ltd.,NSE_EQ
JAINREC,759244,Jain Resource Recycling Ltd.,NSE_EQ
JBCHEPHARM,1726,J.B. Chemicals & Pharmaceuticals Ltd.,NSE_EQ
JBMA,11655,JBM Auto Ltd.,NSE_EQ
JINDALSAW,3024,Jindal Saw Ltd.,NSE_EQ
JINDALSTEL,6733,Jindal Steel Ltd.,NSE_EQ
JIOFIN,18143,Jio Financial Services Ltd.,NSE_EQ
JKCEMENT,13270,J.K. Cement Ltd.,NSE_EQ
JKTYRE,14435,JK Tyre & Industries Ltd.,NSE_EQ
JMFINANCIL,13637,JM Financial Ltd.,NSE_EQ
JPPOWER,11763,Jaiprakash Power Ventures Ltd.,NSE_EQ
JSL,11236,Jindal Stainless Ltd.,NSE_EQ
JSWCEMENT,758460,JSW Cement Ltd.,NSE_EQ
JSWDULUX,1467,JSW Dulux Ltd.,NSE_EQ
JSWENERGY,17869,JSW Energy Ltd.,NSE_EQ
JSWINFRA,19020,JSW Infrastructure Ltd.,NSE_EQ
JSWSTEEL,11723,JSW Steel Ltd.,NSE_EQ
